x_parameter,dataset,competitor,metric
0.0,AcousticContaminationMadrid_nmv,dqn,1.2708947599094775
0.0,AcousticContaminationMadrid_nmv,dqn_sr,4.466003387941934
0.0,AcousticContaminationMadrid_nmv,stopping_rule,1.2708947599094775
0.0,AcousticContaminationMadrid_nmv,proba_threshold,1.2708947599094775
0.0,AluminiumConcentration,dqn,1.2609797254241324
0.0,AluminiumConcentration,dqn_sr,2.5146182852525634
0.0,AluminiumConcentration,stopping_rule,1.2609797254241324
0.0,AluminiumConcentration,proba_threshold,1.2609797254241324
0.0,BitcoinSentiment,dqn,1.4677992676220697
0.0,BitcoinSentiment,dqn_sr,1.7782794100389228
0.0,BitcoinSentiment,stopping_rule,1.4677992676220697
0.0,BitcoinSentiment,proba_threshold,1.4677992676220697
0.0,BME,dqn,1.2863969449369745
0.0,BME,dqn_sr,1.3075293267109043
0.0,BME,stopping_rule,1.343756026893446
0.0,BME,proba_threshold,1.2863969449369745
0.0,ChilledWaterPredictor,dqn,1.2798022139979537
0.0,ChilledWaterPredictor,dqn_sr,1.2798022139979537
0.0,ChilledWaterPredictor,stopping_rule,1.2798022139979537
0.0,ChilledWaterPredictor,proba_threshold,1.2798022139979537
0.0,Chinatown,dqn,1.4677992676220697
0.0,Chinatown,dqn_sr,1.7782794100389228
0.0,Chinatown,stopping_rule,1.4677992676220697
0.0,Chinatown,proba_threshold,1.4677992676220697
0.0,Crop,dqn,1.6973546868653822
0.0,Crop,dqn_sr,1.3503140378698728
0.0,Crop,stopping_rule,1.3503140378698728
0.0,Crop,proba_threshold,1.3503140378698728
0.0,DhakaHourlyAirQuality,dqn,1.4677992676220697
0.0,DhakaHourlyAirQuality,dqn_sr,1.7782794100389228
0.0,DhakaHourlyAirQuality,stopping_rule,1.4677992676220697
0.0,DhakaHourlyAirQuality,proba_threshold,1.4677992676220697
0.0,DodgerLoopDay,dqn,1.2710617996147449
0.0,DodgerLoopDay,dqn_sr,1.2710617996147449
0.0,DodgerLoopDay,stopping_rule,1.2710617996147449
0.0,DodgerLoopDay,proba_threshold,1.2710617996147449
0.0,ElectricityPredictor,dqn,1.2798022139979535
0.0,ElectricityPredictor,dqn_sr,1.2798022139979535
0.0,ElectricityPredictor,stopping_rule,1.2798022139979535
0.0,ElectricityPredictor,proba_threshold,1.2798022139979535
0.0,EOGVerticalSignal,dqn,1.2612465753175388
0.0,EOGVerticalSignal,dqn_sr,1.2612465753175388
0.0,EOGVerticalSignal,stopping_rule,1.2612465753175388
0.0,EOGVerticalSignal,proba_threshold,1.2612465753175388
0.0,FloodModeling3,dqn,1.2742749857031337
0.0,FloodModeling3,dqn_sr,1.5959067764047317
0.0,FloodModeling3,stopping_rule,1.2742749857031337
0.0,FloodModeling3,proba_threshold,1.2742749857031337
0.0,GestureMidAirD1,dqn,1.258925411794167
0.0,GestureMidAirD1,dqn_sr,1.258925411794167
0.0,GestureMidAirD1,stopping_rule,1.258925411794167
0.0,GestureMidAirD1,proba_threshold,1.258925411794167
0.0,GunPointAgeSpan,dqn,1.2821374447434883
0.0,GunPointAgeSpan,dqn_sr,5.49034896727406
0.0,GunPointAgeSpan,stopping_rule,1.2783997194630239
0.0,GunPointAgeSpan,proba_threshold,1.2783997194630239
0.0,HouseholdPowerConsumption1,dqn,1.2589254117941668
0.0,HouseholdPowerConsumption1,dqn_sr,1.5848931924611134
0.0,HouseholdPowerConsumption1,stopping_rule,1.2589254117941668
0.0,HouseholdPowerConsumption1,proba_threshold,1.2589254117941668
0.0,HouseTwenty,dqn,1.2589254117941673
0.0,HouseTwenty,dqn_sr,3.187864974086086
0.0,HouseTwenty,stopping_rule,1.2589254117941673
0.0,HouseTwenty,proba_threshold,1.2589254117941673
0.0,HotwaterPredictor,dqn,1.2798022139979537
0.0,HotwaterPredictor,dqn_sr,1.593605985907693
0.0,HotwaterPredictor,stopping_rule,1.2827626269404984
0.0,HotwaterPredictor,proba_threshold,1.2798022139979537
0.0,InsectEPGRegularTrain,dqn,1.2681230532402819
0.0,InsectEPGRegularTrain,dqn_sr,1.2681230532402819
0.0,InsectEPGRegularTrain,stopping_rule,2.3184621696951733
0.0,InsectEPGRegularTrain,proba_threshold,1.2681230532402819
0.0,MadridPM10Quality_nmv,dqn,1.2798022139979535
0.0,MadridPM10Quality_nmv,dqn_sr,1.5936059859076932
0.0,MadridPM10Quality_nmv,stopping_rule,1.2798022139979535
0.0,MadridPM10Quality_nmv,proba_threshold,1.2798022139979535
0.0,MelbournePedestrian,dqn,3.0579255695738596
0.0,MelbournePedestrian,dqn_sr,1.4677992676220697
0.0,MelbournePedestrian,stopping_rule,1.4677992676220697
0.0,MelbournePedestrian,proba_threshold,1.4677992676220697
0.0,ParkingBirmingham_eq,dqn,1.389495494373138
0.0,ParkingBirmingham_eq,dqn_sr,1.5345413193674728
0.0,ParkingBirmingham_eq,stopping_rule,1.389495494373138
0.0,ParkingBirmingham_eq,proba_threshold,1.389495494373138
0.0,PLAID,dqn,1.262162409589134
0.0,PLAID,dqn_sr,1.262162409589134
0.0,PLAID,stopping_rule,1.262162409589134
0.0,PLAID,proba_threshold,1.262162409589134
0.0,PrecipitationAndalusia_nmv,dqn,1.2708947599094778
0.0,PrecipitationAndalusia_nmv,dqn_sr,1.3158095680529676
0.0,PrecipitationAndalusia_nmv,stopping_rule,1.2708947599094778
0.0,PrecipitationAndalusia_nmv,proba_threshold,1.2708947599094778
0.0,Rock,dqn,1.260557288727225
0.0,Rock,dqn_sr,1.260557288727225
0.0,Rock,stopping_rule,1.260557288727225
0.0,Rock,proba_threshold,1.260557288727225
0.0,SemgHandGenderCh2,dqn,1.258925411794167
0.0,SemgHandGenderCh2,dqn_sr,3.2000681545699146
0.0,SemgHandGenderCh2,stopping_rule,1.258925411794167
0.0,SemgHandGenderCh2,proba_threshold,1.258925411794167
0.0,SmoothSubspace,dqn,1.3593563908785258
0.0,SmoothSubspace,dqn_sr,1.3593563908785258
0.0,SmoothSubspace,stopping_rule,1.3593563908785258
0.0,SmoothSubspace,proba_threshold,1.3593563908785258
0.0,SolarRadiationAndalusia_nmv,dqn,1.2708947599094778
0.0,SolarRadiationAndalusia_nmv,dqn_sr,1.2708947599094778
0.0,SolarRadiationAndalusia_nmv,stopping_rule,1.2757070607819945
0.0,SolarRadiationAndalusia_nmv,proba_threshold,1.2708947599094778
0.0,SteamPredictor,dqn,1.2798022139979537
0.0,SteamPredictor,dqn_sr,1.593605985907693
0.0,SteamPredictor,stopping_rule,1.2798022139979537
0.0,SteamPredictor,proba_threshold,1.2798022139979537
0.0,TetuanEnergyConsumption,dqn,1.2915496650148839
0.0,TetuanEnergyConsumption,dqn_sr,3.6455377526584782
0.0,TetuanEnergyConsumption,stopping_rule,1.2915496650148839
0.0,TetuanEnergyConsumption,proba_threshold,1.2915496650148839
0.0,UMD,dqn,1.2783997194630237
0.0,UMD,dqn_sr,1.2783997194630237
0.0,UMD,stopping_rule,1.2783997194630237
0.0,UMD,proba_threshold,1.2783997194630237
0.0,WindTurbinePower,dqn,1.2915496650148839
0.0,WindTurbinePower,dqn_sr,1.614332284246808
0.0,WindTurbinePower,stopping_rule,1.2915496650148839
0.0,WindTurbinePower,proba_threshold,1.2915496650148839
0.1,AcousticContaminationMadrid_nmv,dqn,2.9895190187598084
0.1,AcousticContaminationMadrid_nmv,dqn_sr,2.949360839474085
0.1,AcousticContaminationMadrid_nmv,stopping_rule,2.9895190187598084
0.1,AcousticContaminationMadrid_nmv,proba_threshold,2.953411192708453
0.1,AluminiumConcentration,dqn,3.1454637634637286
0.1,AluminiumConcentration,dqn_sr,3.5777469865272944
0.1,AluminiumConcentration,stopping_rule,3.1454637634637286
0.1,AluminiumConcentration,proba_threshold,3.1454637634637286
0.1,BitcoinSentiment,dqn,2.7350193408598624
0.1,BitcoinSentiment,dqn_sr,2.9258275093007287
0.1,BitcoinSentiment,stopping_rule,2.765551196240882
0.1,BitcoinSentiment,proba_threshold,2.7350193408598624
0.1,BME,dqn,2.0969917518366383
0.1,BME,dqn_sr,1.4785707153402448
0.1,BME,stopping_rule,1.4785707153402448
0.1,BME,proba_threshold,1.4699582735353387
0.1,ChilledWaterPredictor,dqn,2.8931263404242453
0.1,ChilledWaterPredictor,dqn_sr,2.864237396515644
0.1,ChilledWaterPredictor,stopping_rule,2.882654049310641
0.1,ChilledWaterPredictor,proba_threshold,2.8931263404242453
0.1,Chinatown,dqn,1.8586537494620132
0.1,Chinatown,dqn_sr,1.9097327406338178
0.1,Chinatown,stopping_rule,1.8586537494620132
0.1,Chinatown,proba_threshold,1.8586537494620132
0.1,Crop,dqn,1.825497357065732
0.1,Crop,dqn_sr,1.6764076340828862
0.1,Crop,stopping_rule,1.6539898419905217
0.1,Crop,proba_threshold,1.6764076340828862
0.1,DhakaHourlyAirQuality,dqn,2.0335797273332927
0.1,DhakaHourlyAirQuality,dqn_sr,2.2648637073603117
0.1,DhakaHourlyAirQuality,stopping_rule,2.0335797273332927
0.1,DhakaHourlyAirQuality,proba_threshold,2.0335797273332927
0.1,DodgerLoopDay,dqn,2.151587086476911
0.1,DodgerLoopDay,dqn_sr,2.2481222863199375
0.1,DodgerLoopDay,stopping_rule,1.8207171162286315
0.1,DodgerLoopDay,proba_threshold,2.2637457810109693
0.1,ElectricityPredictor,dqn,3.168282897947953
0.1,ElectricityPredictor,dqn_sr,3.168282897947953
0.1,ElectricityPredictor,stopping_rule,3.168282897947953
0.1,ElectricityPredictor,proba_threshold,3.168282897947953
0.1,EOGVerticalSignal,dqn,1.9507182480610141
0.1,EOGVerticalSignal,dqn_sr,1.9507182480610141
0.1,EOGVerticalSignal,stopping_rule,1.9507182480610141
0.1,EOGVerticalSignal,proba_threshold,1.9507182480610141
0.1,FloodModeling3,dqn,3.051738791480646
0.1,FloodModeling3,dqn_sr,4.2069780428780135
0.1,FloodModeling3,stopping_rule,3.051738791480646
0.1,FloodModeling3,proba_threshold,3.051738791480646
0.1,GestureMidAirD1,dqn,1.6144054196343582
0.1,GestureMidAirD1,dqn_sr,1.6144054196343582
0.1,GestureMidAirD1,stopping_rule,1.6144054196343582
0.1,GestureMidAirD1,proba_threshold,1.6144054196343582
0.1,GunPointAgeSpan,dqn,2.1391650089899636
0.1,GunPointAgeSpan,dqn_sr,1.7946965561418313
0.1,GunPointAgeSpan,stopping_rule,2.28547717214949
0.1,GunPointAgeSpan,proba_threshold,2.886349757956731
0.1,HouseholdPowerConsumption1,dqn,3.2176399925939414
0.1,HouseholdPowerConsumption1,dqn_sr,3.099436936867883
0.1,HouseholdPowerConsumption1,stopping_rule,3.313867773744375
0.1,HouseholdPowerConsumption1,proba_threshold,3.223793168100573
0.1,HouseTwenty,dqn,2.495420784329118
0.1,HouseTwenty,dqn_sr,1.8895076842523606
0.1,HouseTwenty,stopping_rule,1.7572803880387802
0.1,HouseTwenty,proba_threshold,2.438981874696035
